gender,race/ethnicity,parental level of education,lunch,test preparation course,internet_access,extracurricular_activities,tutoring_support,study_method,parental_involvement,previous_term_score,attendance_rate,weekly_study_hours,sleep_hours_per_day,daily_screen_time_hours,past_failures,reading score,writing score,math score
male,group E,associate's degree,standard,none,no,yes,none,group_study,low,65,99.0,13.1,7.6,2.5,0,65,64,62
female,group D,associate's degree,standard,none,yes,no,none,spaced_repetition,medium,73,98.6,7.6,7.1,2.1,0,89,87,80
male,group C,master's degree,free/reduced,none,yes,no,peer_tutoring,group_study,medium,76,99.6,13.4,8.4,4.3,0,87,87,84
female,group C,some high school,standard,completed,yes,no,none,active_problem_solving,medium,62,79.7,16.8,8.4,1.7,0,80,73,71
male,group B,some high school,standard,completed,yes,yes,none,group_study,high,78,88.7,14.0,7.3,0.6,0,100,94,88
female,group D,high school,free/reduced,none,yes,no,none,active_problem_solving,high,86,89.2,16.7,8.9,0.5,0,100,100,98
male,group B,some college,free/reduced,completed,yes,yes,peer_tutoring,active_problem_solving,medium,79,99.7,9.4,6.7,4.2,0,92,79,85
female,group D,associate's degree,standard,none,yes,yes,peer_tutoring,group_study,medium,63,89.7,20.1,6.7,4.0,0,77,79,74
female,group D,some college,standard,completed,yes,no,none,group_study,low,82,96.4,20.0,7.0,4.0,0,100,96,91
male,group A,bachelor's degree,standard,completed,yes,no,private_tutor,spaced_repetition,high,62,94.8,15.6,6.4,5.6,0,94,85,91
female,group D,some college,free/reduced,completed,yes,no,none,spaced_repetition,medium,33,94.1,14.5,6.8,2.9,1,39,39,38
female,group C,associate's degree,free/reduced,none,yes,yes,none,active_problem_solving,high,50,95.9,11.6,7.9,4.7,0,56,56,56
female,group A,some high school,free/reduced,completed,no,no,peer_tutoring,group_study,high,50,91.9,6.1,7.2,1.0,1,63,55,58
male,group B,associate's degree,free/reduced,none,no,no,peer_tutoring,active_problem_solving,medium,84,83.4,7.7,6.8,5.2,0,90,87,90
male,group D,bachelor's degree,standard,none,no,no,none,active_problem_solving,high,70,89.9,12.1,7.9,5.0,0,76,75,77
male,group C,high school,standard,completed,yes,yes,none,passive_reading,medium,50,90.6,10.0,9.0,0.7,0,54,53,51
female,group C,some high school,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,high,71,88.3,20.4,8.2,3.9,0,83,80,79
male,group B,some college,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,medium,54,97.3,33.4,5.4,2.1,1,66,66,60
male,group C,some college,free/reduced,none,yes,no,peer_tutoring,group_study,medium,67,95.9,11.3,7.6,4.0,0,65,69,66
female,group E,associate's degree,standard,none,no,yes,peer_tutoring,spaced_repetition,medium,40,98.0,26.5,8.6,1.7,0,59,60,61
male,group B,some college,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,high,86,98.4,15.6,5.7,2.5,0,96,99,92
female,group B,associate's degree,free/reduced,none,yes,yes,peer_tutoring,group_study,high,62,91.9,24.0,7.0,3.2,2,70,70,65
female,group D,some college,standard,none,yes,yes,none,passive_reading,medium,53,96.5,11.6,7.6,4.1,0,59,52,54
male,group A,some high school,free/reduced,none,yes,no,peer_tutoring,spaced_repetition,medium,61,92.8,19.0,7.5,4.5,0,63,65,62
male,group B,some college,free/reduced,none,yes,no,none,passive_reading,high,66,97.2,17.6,8.2,2.8,1,54,65,68
male,group B,some high school,standard,none,yes,yes,none,group_study,low,59,98.2,16.5,8.4,4.6,0,64,66,62
female,group C,associate's degree,standard,completed,yes,no,private_tutor,group_study,medium,67,97.8,13.3,8.8,2.1,0,92,86,86
male,group C,some high school,free/reduced,completed,yes,no,none,active_problem_solving,high,67,93.7,13.6,6.4,1.7,1,66,65,68
female,group D,some college,standard,completed,yes,yes,peer_tutoring,group_study,medium,84,92.1,17.5,8.5,2.9,0,100,97,97
female,group C,some high school,standard,none,yes,no,none,passive_reading,medium,69,94.1,13.7,9.0,1.1,0,74,77,71
male,group B,associate's degree,standard,none,no,no,none,active_problem_solving,medium,74,98.7,10.7,7.4,5.8,1,70,71,70
male,group D,associate's degree,standard,none,yes,yes,none,active_problem_solving,medium,63,96.5,13.9,6.7,6.5,0,72,72,62
male,group C,high school,free/reduced,completed,yes,yes,peer_tutoring,group_study,low,60,96.8,13.8,6.9,3.7,0,68,68,64
female,group B,associate's degree,standard,completed,yes,yes,none,passive_reading,medium,57,93.6,10.4,7.3,2.4,0,71,68,69
female,group D,bachelor's degree,standard,completed,yes,yes,private_tutor,group_study,medium,67,77.1,20.3,7.2,2.3,1,90,88,84
female,group B,associate's degree,standard,completed,yes,yes,peer_tutoring,passive_reading,medium,48,88.3,16.3,7.6,0.8,0,58,57,57
female,group C,some college,free/reduced,none,no,yes,none,active_problem_solving,medium,52,91.8,12.4,8.4,2.9,1,54,57,54
male,group E,high school,standard,completed,yes,yes,private_tutor,spaced_repetition,high,53,99.6,8.2,9.8,2.3,1,74,66,65
female,group E,associate's degree,free/reduced,none,yes,yes,private_tutor,passive_reading,high,44,96.5,15.7,8.5,1.3,2,46,47,45
male,group C,master's degree,standard,completed,yes,no,peer_tutoring,active_problem_solving,medium,67,95.1,17.5,7.5,7.6,1,94,85,87
male,group E,some college,standard,none,yes,no,none,spaced_repetition,medium,50,91.7,5.4,6.3,3.2,0,54,51,52
female,group C,some college,free/reduced,completed,yes,yes,none,active_problem_solving,medium,45,94.4,19.9,5.3,10.0,0,48,50,47
male,group B,high school,free/reduced,none,yes,yes,peer_tutoring,passive_reading,medium,79,91.6,15.5,8.5,2.2,0,87,88,88
female,group C,associate's degree,free/reduced,none,yes,yes,none,group_study,low,65,93.0,6.4,8.0,5.0,0,62,62,68
female,group E,high school,standard,none,yes,no,none,group_study,medium,85,98.4,13.1,6.7,1.8,0,91,91,90
female,group E,associate's degree,standard,completed,yes,no,none,spaced_repetition,medium,76,95.5,15.0,7.0,1.1,0,100,94,91
female,group B,some college,standard,completed,yes,no,none,active_problem_solving,medium,72,95.8,33.3,7.2,0.7,1,100,93,94
male,group C,master's degree,standard,completed,yes,yes,none,group_study,high,64,95.1,13.3,7.0,6.1,1,86,82,84
female,group C,some college,standard,none,yes,no,none,spaced_repetition,medium,100,81.7,10.1,7.6,3.7,0,100,100,100
male,group E,associate's degree,free/reduced,none,no,yes,none,passive_reading,high,60,95.6,19.2,5.6,5.3,0,57,55,59
male,group B,high school,free/reduced,none,no,no,peer_tutoring,spaced_repetition,low,49,99.2,3.5,6.5,2.3,0,38,35,42
male,group B,high school,standard,completed,yes,yes,private_tutor,active_problem_solving,low,100,82.3,16.0,8.8,2.2,0,100,100,100
male,group C,high school,free/reduced,none,yes,no,peer_tutoring,spaced_repetition,high,54,92.0,18.3,7.8,2.7,0,57,56,52
female,group D,some high school,standard,none,no,no,none,spaced_repetition,medium,61,95.0,11.8,7.0,5.5,0,64,65,58
female,group E,associate's degree,standard,completed,no,no,peer_tutoring,active_problem_solving,high,77,93.0,15.1,6.6,2.6,0,100,98,96
female,group C,some high school,standard,none,yes,yes,none,spaced_repetition,medium,85,77.8,20.6,6.6,2.0,0,95,95,93
male,group B,high school,free/reduced,none,yes,yes,none,spaced_repetition,high,51,96.6,8.2,7.0,2.6,1,48,44,52
male,group E,high school,free/reduced,none,yes,no,private_tutor,group_study,high,73,94.6,18.6,7.1,4.0,0,79,81,83
male,group E,some college,free/reduced,completed,no,yes,none,spaced_repetition,medium,72,92.5,22.5,8.7,0.5,0,75,82,85
male,group C,some high school,standard,none,yes,yes,private_tutor,active_problem_solving,high,50,96.6,9.7,7.7,3.6,0,60,56,61
male,group C,associate's degree,standard,none,yes,yes,peer_tutoring,passive_reading,low,65,98.1,12.8,6.9,3.2,0,72,70,77
female,group B,bachelor's degree,standard,none,yes,yes,private_tutor,passive_reading,high,64,76.1,23.3,7.4,1.5,0,82,78,73
male,group C,master's degree,free/reduced,none,yes,no,none,passive_reading,high,77,97.4,3.6,8.3,2.3,0,76,81,82
male,group A,high school,standard,completed,no,yes,private_tutor,group_study,high,57,95.7,18.6,8.3,3.3,0,75,72,78
female,group E,some college,standard,completed,yes,yes,none,spaced_repetition,medium,48,91.2,9.1,7.1,2.0,0,69,63,65
female,group D,bachelor's degree,standard,none,yes,yes,none,active_problem_solving,low,100,95.4,28.6,8.1,4.3,0,100,100,100
male,group C,associate's degree,free/reduced,none,yes,no,none,active_problem_solving,high,64,90.9,10.2,6.1,0.8,1,68,69,73
male,group A,associate's degree,standard,none,no,no,none,group_study,high,61,89.0,24.6,7.9,7.2,0,63,65,64
female,group C,bachelor's degree,standard,none,yes,no,none,active_problem_solving,high,37,99.4,14.3,7.3,5.0,0,54,54,48
female,group E,high school,standard,none,no,no,peer_tutoring,active_problem_solving,high,79,94.1,3.1,7.2,1.9,0,97,91,91
male,group C,bachelor's degree,free/reduced,completed,yes,no,peer_tutoring,active_problem_solving,medium,74,97.5,3.4,7.7,5.8,1,90,84,86
male,group A,some college,standard,none,yes,no,none,active_problem_solving,high,77,89.1,15.7,10.0,2.8,0,95,96,88
female,group E,associate's degree,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,medium,61,95.7,6.0,9.1,5.5,0,66,66,64
female,group D,bachelor's degree,standard,none,yes,no,private_tutor,group_study,medium,62,98.2,17.2,6.7,5.2,0,90,81,79
female,group D,some high school,free/reduced,none,no,yes,none,active_problem_solving,high,71,90.9,23.5,6.0,1.8,0,75,78,69
female,group D,associate's degree,standard,completed,yes,yes,none,group_study,medium,81,89.6,11.8,6.7,1.2,0,100,94,93
female,group B,high school,standard,completed,yes,no,private_tutor,active_problem_solving,low,93,81.5,14.9,8.5,5.9,1,100,100,97
female,group C,some high school,free/reduced,completed,no,yes,none,spaced_repetition,medium,75,86.2,7.6,7.4,3.9,1,69,75,78
female,group C,some high school,standard,none,yes,yes,none,passive_reading,medium,67,93.4,14.4,4.0,1.3,1,63,61,68
male,group B,high school,standard,completed,yes,no,none,passive_reading,high,53,81.9,18.2,8.8,1.6,2,49,47,54
female,group C,high school,standard,none,no,yes,none,active_problem_solving,medium,52,88.1,19.4,7.3,0.5,2,53,52,50
male,group C,some high school,standard,none,yes,no,none,passive_reading,medium,54,93.9,11.8,8.8,1.0,0,60,58,54
male,group C,bachelor's degree,standard,none,no,yes,peer_tutoring,active_problem_solving,low,90,85.4,7.5,7.6,3.9,0,99,98,99
female,group B,some college,free/reduced,none,yes,yes,none,active_problem_solving,low,90,95.9,10.6,7.3,4.6,0,100,96,92
male,group A,master's degree,standard,none,no,yes,peer_tutoring,group_study,high,52,93.6,17.1,7.9,7.7,0,65,61,64
male,group C,high school,free/reduced,completed,yes,yes,peer_tutoring,spaced_repetition,medium,58,96.2,11.6,6.6,4.9,0,68,63,62
female,group D,some high school,standard,none,yes,yes,none,active_problem_solving,high,79,97.2,13.7,7.4,3.1,0,96,94,91
male,group E,some college,free/reduced,none,yes,yes,none,group_study,medium,77,93.7,9.5,6.0,3.6,0,68,70,74
male,group B,associate's degree,standard,none,yes,no,none,passive_reading,high,65,83.9,5.5,7.3,3.1,0,63,62,66
female,group E,some college,standard,none,yes,yes,none,passive_reading,high,57,98.3,4.1,7.4,3.2,0,70,65,68
male,group C,some high school,free/reduced,none,yes,no,peer_tutoring,group_study,medium,66,83.2,8.1,6.4,2.5,0,53,56,64
female,group D,some college,standard,none,no,no,none,passive_reading,medium,42,92.9,19.5,6.9,1.6,1,39,46,41
female,group A,bachelor's degree,standard,completed,yes,no,none,active_problem_solving,medium,74,91.8,7.9,7.4,1.4,0,96,94,92
female,group C,associate's degree,standard,completed,yes,no,none,spaced_repetition,medium,49,91.1,28.5,6.6,4.1,1,66,62,62
female,group C,some college,free/reduced,none,no,yes,peer_tutoring,group_study,low,58,98.7,16.4,6.4,3.0,0,52,55,58
female,group C,some college,free/reduced,none,yes,yes,none,group_study,medium,37,85.5,9.9,5.2,2.6,1,26,27,30
male,group C,some college,standard,completed,yes,no,none,spaced_repetition,high,51,85.9,20.6,6.9,2.5,0,63,62,56
male,group C,high school,free/reduced,none,no,yes,none,active_problem_solving,low,65,92.4,26.0,6.7,4.7,0,56,60,59
female,group B,associate's degree,free/reduced,none,yes,yes,none,active_problem_solving,medium,76,82.0,26.0,6.7,1.3,0,93,89,86
male,group C,associate's degree,standard,none,yes,no,none,active_problem_solving,low,84,89.3,12.3,5.9,5.6,1,84,85,81
male,group C,bachelor's degree,standard,none,yes,yes,none,group_study,medium,41,92.3,16.6,7.0,3.3,0,52,52,49
female,group B,some high school,free/reduced,none,yes,yes,peer_tutoring,active_problem_solving,high,58,94.5,13.1,7.6,0.7,0,80,74,70
female,group D,associate's degree,standard,none,yes,yes,none,active_problem_solving,low,63,93.0,13.0,6.9,3.1,0,74,72,71
female,group C,some college,free/reduced,none,yes,yes,none,passive_reading,medium,72,86.9,8.8,6.2,4.1,0,62,68,66
female,group D,master's degree,standard,none,no,yes,peer_tutoring,passive_reading,low,91,99.5,7.6,8.0,2.9,0,100,97,100
female,group C,associate's degree,standard,completed,yes,yes,none,group_study,low,82,86.9,11.2,8.5,3.2,0,100,96,94
male,group D,master's degree,free/reduced,none,no,yes,none,passive_reading,medium,65,99.1,25.3,7.7,4.7,0,75,73,78
male,group C,associate's degree,standard,none,yes,yes,private_tutor,spaced_repetition,high,74,75.9,14.5,7.4,2.5,1,76,73,80
male,group C,high school,free/reduced,none,yes,no,private_tutor,passive_reading,low,72,88.0,31.3,5.5,2.1,0,75,72,70
female,group D,associate's degree,standard,completed,yes,no,peer_tutoring,passive_reading,medium,59,95.6,16.2,8.3,4.1,1,81,76,77
male,group B,some college,standard,completed,yes,no,none,passive_reading,low,80,94.6,31.1,8.0,2.3,0,96,94,96
female,group E,some college,free/reduced,none,yes,no,none,active_problem_solving,low,52,98.4,10.6,7.0,3.6,0,51,55,52
male,group D,bachelor's degree,free/reduced,none,yes,no,peer_tutoring,passive_reading,medium,55,93.1,12.5,6.8,4.5,0,60,62,51
female,group D,associate's degree,free/reduced,completed,no,no,none,spaced_repetition,medium,49,98.5,5.0,8.4,0.7,2,55,55,55
male,group D,some college,standard,none,yes,no,peer_tutoring,active_problem_solving,medium,61,88.2,15.2,6.2,2.3,1,66,63,68
male,group C,some high school,standard,none,no,no,peer_tutoring,passive_reading,medium,90,95.6,13.0,5.8,4.9,0,89,87,94
male,group C,some college,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,medium,62,95.9,10.8,8.4,3.5,1,61,67,63
female,group E,master's degree,free/reduced,none,no,no,peer_tutoring,group_study,low,48,79.7,11.8,7.9,1.8,0,50,48,46
male,group B,associate's degree,standard,none,yes,yes,none,spaced_repetition,low,65,83.3,20.2,5.2,2.0,0,62,63,62
female,group D,some college,free/reduced,none,yes,yes,peer_tutoring,active_problem_solving,low,66,93.7,2.7,7.2,4.8,0,67,64,63
male,group C,some college,standard,completed,yes,no,none,group_study,medium,47,95.6,11.0,5.9,5.2,0,60,59,60
female,group B,high school,standard,none,no,yes,peer_tutoring,spaced_repetition,high,77,91.6,6.4,6.0,2.8,1,79,76,75
female,group C,associate's degree,free/reduced,completed,yes,no,none,active_problem_solving,high,77,97.5,21.7,8.8,2.4,0,93,86,86
female,group B,bachelor's degree,free/reduced,completed,no,no,peer_tutoring,active_problem_solving,high,57,87.7,16.5,7.2,2.7,1,70,71,68
male,group C,some college,standard,completed,yes,no,none,spaced_repetition,low,74,92.8,14.6,7.3,2.6,0,95,92,95
male,group B,high school,standard,none,yes,yes,none,passive_reading,low,52,98.2,13.0,6.6,3.6,2,38,35,47
male,group E,high school,free/reduced,none,yes,yes,none,passive_reading,high,57,92.9,12.2,9.1,1.9,0,48,54,52
male,group D,some high school,free/reduced,completed,yes,yes,none,active_problem_solving,high,66,93.9,12.0,7.2,2.3,1,73,76,69
female,group D,some college,free/reduced,completed,yes,yes,peer_tutoring,spaced_repetition,medium,58,93.2,10.3,6.6,5.1,1,75,72,68
male,group E,some high school,standard,completed,yes,yes,none,active_problem_solving,low,62,95.7,19.7,8.3,2.7,1,74,69,70
male,group C,master's degree,standard,none,yes,yes,peer_tutoring,group_study,low,55,89.6,12.7,6.1,3.1,0,62,64,66
female,group D,associate's degree,standard,none,no,no,none,active_problem_solving,low,58,96.0,14.9,8.1,3.0,1,62,65,63
male,group C,master's degree,standard,none,no,no,private_tutor,spaced_repetition,medium,56,85.2,9.3,7.1,0.8,1,75,64,68
male,group E,some college,standard,none,yes,yes,none,active_problem_solving,low,74,96.2,5.8,8.6,7.2,1,68,70,71
female,group C,some high school,free/reduced,completed,yes,no,none,group_study,high,65,99.0,24.5,7.2,3.3,0,76,76,77
male,group D,some high school,standard,none,yes,yes,peer_tutoring,active_problem_solving,medium,75,87.0,20.8,6.9,2.2,0,88,90,90
male,group C,some college,free/reduced,none,yes,yes,peer_tutoring,passive_reading,medium,63,91.8,10.0,6.8,1.3,0,62,63,65
female,group C,some high school,standard,none,yes,no,none,spaced_repetition,medium,65,96.6,6.6,6.9,1.5,0,72,73,67
male,group C,some college,free/reduced,none,yes,yes,private_tutor,passive_reading,medium,79,91.5,15.7,9.7,1.8,0,78,77,78
female,group A,some high school,standard,none,yes,yes,peer_tutoring,group_study,high,57,94.1,6.5,6.7,0.9,1,64,60,55
female,group A,some college,standard,completed,yes,yes,none,active_problem_solving,low,75,81.2,6.1,8.5,0.9,0,92,93,82
female,group C,some college,free/reduced,none,yes,no,private_tutor,active_problem_solving,high,47,97.5,13.1,4.8,5.9,1,56,57,53
male,group D,bachelor's degree,standard,none,yes,yes,none,spaced_repetition,medium,87,99.3,19.2,6.6,1.7,0,100,99,100
male,group E,associate's degree,standard,none,no,yes,peer_tutoring,group_study,medium,53,94.4,8.5,9.4,1.9,0,61,59,56
female,group B,some high school,standard,none,no,no,none,group_study,medium,74,97.1,12.5,5.6,3.5,0,74,73,71
female,group D,associate's degree,standard,none,yes,yes,none,active_problem_solving,high,64,95.1,24.2,9.9,2.8,1,84,81,76
male,group E,some college,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,high,62,88.9,14.6,7.6,6.4,0,63,60,69
male,group D,master's degree,free/reduced,completed,yes,no,none,spaced_repetition,medium,71,93.0,10.5,6.9,1.0,0,90,85,93
male,group D,associate's degree,free/reduced,none,yes,no,none,spaced_repetition,high,68,85.4,5.8,7.8,2.9,0,69,72,66
male,group C,some college,standard,completed,yes,no,none,spaced_repetition,high,77,94.9,16.5,5.7,3.7,0,100,97,96
female,group B,high school,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,high,66,98.3,22.4,8.7,2.7,2,75,70,69
male,group E,bachelor's degree,free/reduced,completed,yes,no,peer_tutoring,group_study,high,67,96.1,16.2,8.5,1.0,0,88,86,84
male,group D,some high school,standard,none,yes,yes,private_tutor,spaced_repetition,high,71,88.0,15.6,8.2,3.0,0,89,94,78
female,group A,bachelor's degree,standard,none,no,no,none,active_problem_solving,medium,58,92.4,7.2,7.3,3.2,0,64,65,58
male,group B,high school,standard,none,yes,yes,private_tutor,active_problem_solving,high,57,93.4,15.8,8.8,3.7,1,75,73,72
male,group C,associate's degree,free/reduced,completed,yes,yes,peer_tutoring,active_problem_solving,high,54,91.9,6.5,7.4,5.1,0,65,64,60
male,group D,master's degree,free/reduced,none,yes,no,private_tutor,passive_reading,high,64,96.9,11.4,8.0,2.3,0,72,69,71
female,group C,some college,free/reduced,none,yes,yes,none,passive_reading,medium,46,97.1,8.7,9.6,5.3,0,35,41,43
female,group D,high school,free/reduced,none,yes,yes,none,group_study,medium,52,92.5,16.9,6.7,1.2,0,56,53,51
male,group B,associate's degree,standard,none,yes,yes,none,spaced_repetition,low,82,91.0,7.5,7.6,3.1,0,83,85,89
male,group C,some high school,standard,none,yes,no,none,spaced_repetition,low,70,96.0,14.2,6.9,2.9,0,67,70,72
female,group A,associate's degree,free/reduced,none,no,yes,peer_tutoring,group_study,medium,51,83.9,20.3,7.0,1.7,0,52,51,52
male,group C,some college,free/reduced,none,yes,no,private_tutor,active_problem_solving,high,63,95.9,9.2,9.4,3.6,0,68,69,65
male,group E,associate's degree,standard,none,yes,no,peer_tutoring,group_study,low,75,95.6,14.0,5.3,5.2,0,75,79,80
male,group C,high school,standard,none,yes,no,peer_tutoring,active_problem_solving,low,62,91.2,14.2,5.8,0.7,1,74,65,64
female,group B,some college,standard,completed,yes,yes,peer_tutoring,group_study,high,61,97.0,11.4,7.8,1.6,0,90,84,83
male,group D,master's degree,standard,none,yes,no,none,active_problem_solving,medium,77,95.2,26.6,7.8,7.4,2,94,93,93
female,group C,associate's degree,standard,completed,yes,no,none,passive_reading,medium,81,91.9,7.0,6.9,4.0,0,100,95,91
male,group C,high school,standard,completed,yes,no,peer_tutoring,spaced_repetition,high,46,95.0,22.8,8.6,5.1,0,64,59,59
female,group C,associate's degree,standard,none,yes,no,none,active_problem_solving,low,61,83.9,19.5,6.2,1.1,0,71,70,70
female,group C,high school,standard,none,yes,yes,none,spaced_repetition,medium,69,93.5,19.0,8.8,2.9,0,81,82,82
female,group E,some college,free/reduced,completed,yes,yes,peer_tutoring,active_problem_solving,medium,70,93.8,7.7,7.4,3.2,0,88,85,80
male,group B,high school,standard,completed,no,yes,private_tutor,group_study,medium,64,82.2,7.3,7.7,0.9,2,65,66,68
female,group C,some high school,standard,none,no,yes,none,group_study,high,86,93.7,11.5,7.1,5.1,0,91,88,88
male,group A,bachelor's degree,free/reduced,none,yes,no,none,spaced_repetition,low,55,99.1,17.6,7.4,6.1,0,54,54,53
female,group C,some college,free/reduced,completed,yes,no,peer_tutoring,group_study,medium,36,93.0,15.2,5.4,0.5,0,43,44,39
female,group C,some college,free/reduced,none,yes,no,none,active_problem_solving,medium,60,78.6,11.6,7.3,2.1,2,57,65,56
male,group E,bachelor's degree,free/reduced,completed,no,no,none,group_study,medium,67,94.4,7.0,7.2,3.6,0,72,74,72
male,group B,some college,standard,none,yes,yes,none,active_problem_solving,medium,66,93.5,21.1,5.8,1.2,0,77,76,79
male,group B,bachelor's degree,standard,none,yes,yes,peer_tutoring,passive_reading,medium,54,94.1,5.6,7.3,3.1,0,63,62,59
male,group D,some college,standard,completed,yes,yes,none,passive_reading,high,72,94.4,25.9,7.3,3.6,0,80,80,81
female,group B,some high school,standard,none,yes,yes,none,spaced_repetition,high,55,91.0,18.7,7.9,1.5,1,65,60,57
male,group C,some high school,standard,none,yes,yes,none,spaced_repetition,low,81,92.1,25.3,9.3,3.5,0,82,74,80
female,group B,associate's degree,standard,none,yes,yes,none,active_problem_solving,medium,62,90.1,4.3,6.1,9.2,0,67,70,64
female,group C,some college,standard,completed,yes,no,peer_tutoring,active_problem_solving,medium,47,84.4,7.8,6.1,1.6,0,59,58,54
male,group C,some college,standard,none,yes,no,none,passive_reading,medium,58,93.5,18.9,6.7,1.0,1,56,60,63
male,group C,bachelor's degree,standard,none,yes,no,none,passive_reading,high,66,96.3,13.5,7.2,2.6,1,73,74,75
male,group C,some college,free/reduced,none,yes,no,none,spaced_repetition,high,64,95.6,16.9,6.8,2.3,0,76,75,76
male,group C,high school,standard,none,yes,no,none,spaced_repetition,medium,74,90.0,30.4,6.6,2.1,0,84,78,79
male,group C,associate's degree,standard,none,yes,yes,none,passive_reading,medium,68,92.2,16.5,9.3,1.5,0,73,71,74
female,group D,some high school,free/reduced,completed,yes,yes,private_tutor,group_study,medium,68,86.3,9.5,7.1,3.3,0,83,85,78
male,group D,associate's degree,standard,completed,yes,yes,none,passive_reading,medium,73,93.2,16.9,6.3,2.1,0,86,86,81
male,group C,associate's degree,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,medium,61,94.1,9.6,5.8,6.7,0,63,58,62
male,group C,high school,standard,none,no,yes,none,group_study,high,48,95.5,14.1,7.5,1.2,0,56,52,56
male,group B,some college,standard,none,no,no,none,active_problem_solving,low,51,92.3,13.6,6.3,4.8,0,49,49,59
female,group E,some college,standard,none,yes,no,peer_tutoring,group_study,high,76,97.7,10.8,4.5,5.7,0,90,89,89
female,group A,high school,standard,none,yes,no,none,group_study,low,75,87.0,6.2,6.5,2.6,0,83,81,78
male,group C,high school,standard,none,no,no,private_tutor,active_problem_solving,low,84,89.7,13.4,7.2,2.9,0,82,80,76
female,group E,high school,free/reduced,none,yes,no,private_tutor,active_problem_solving,high,61,95.7,20.3,6.6,3.6,0,78,73,73
female,group C,some high school,standard,none,yes,yes,peer_tutoring,passive_reading,medium,75,98.2,10.4,6.7,7.1,0,74,73,72
female,group B,some high school,standard,none,yes,yes,peer_tutoring,group_study,medium,61,92.7,27.2,7.0,3.3,0,79,72,69
female,group B,some high school,standard,none,yes,yes,peer_tutoring,passive_reading,medium,77,99.1,17.7,6.9,5.0,0,92,85,86
male,group D,associate's degree,standard,none,yes,yes,none,passive_reading,high,51,96.2,23.8,7.4,1.0,0,70,69,68
female,group E,some college,standard,none,yes,no,none,spaced_repetition,medium,62,87.1,34.5,8.3,2.8,1,75,77,68
female,group D,high school,standard,completed,yes,yes,peer_tutoring,passive_reading,medium,91,90.2,12.8,8.4,3.0,0,100,100,97
female,group E,associate's degree,standard,none,yes,yes,none,active_problem_solving,medium,56,79.0,3.2,8.2,2.9,0,59,60,55
female,group C,associate's degree,standard,none,yes,yes,none,group_study,high,68,81.9,5.7,7.1,6.1,0,77,83,79
female,group C,master's degree,free/reduced,none,no,no,none,spaced_repetition,medium,64,95.8,27.1,5.9,3.7,1,70,68,69
female,group A,some college,free/reduced,none,yes,no,private_tutor,spaced_repetition,high,51,74.6,6.4,6.3,2.8,0,55,56,54
female,group E,associate's degree,standard,completed,yes,no,none,spaced_repetition,medium,79,95.6,11.4,4.5,3.8,1,99,92,90
male,group D,some college,standard,none,yes,yes,none,active_problem_solving,high,82,91.7,11.7,6.7,3.8,0,99,95,93
female,group D,high school,free/reduced,completed,yes,no,none,active_problem_solving,low,47,83.2,29.0,6.8,1.0,1,49,52,49
female,group A,some high school,standard,none,yes,no,peer_tutoring,active_problem_solving,high,46,89.1,19.0,7.3,2.6,0,65,61,55
female,group B,bachelor's degree,free/reduced,none,yes,yes,none,passive_reading,low,44,82.6,12.1,6.1,4.5,1,39,40,42
female,group D,some college,free/reduced,none,no,yes,none,passive_reading,medium,41,98.7,8.2,8.4,3.3,0,35,32,30
male,group E,master's degree,free/reduced,completed,yes,yes,private_tutor,group_study,high,43,89.7,16.4,6.9,3.6,0,71,71,66
female,group C,some college,free/reduced,none,yes,no,none,spaced_repetition,medium,38,96.6,14.6,8.5,0.8,1,32,30,33
female,group A,associate's degree,free/reduced,completed,no,no,none,active_problem_solving,medium,54,96.7,4.1,7.9,1.8,2,46,46,50
male,group A,some college,free/reduced,completed,yes,no,none,spaced_repetition,medium,68,90.4,10.1,8.9,1.5,1,75,66,70
male,group D,some college,standard,none,no,no,none,active_problem_solving,high,84,94.7,13.0,8.1,2.2,0,84,82,84
male,group C,high school,free/reduced,none,no,yes,none,active_problem_solving,high,65,96.6,26.8,4.0,6.8,2,59,61,65
female,group C,some college,standard,none,yes,yes,none,passive_reading,high,86,85.8,6.6,6.7,1.8,0,94,90,94
female,group B,high school,free/reduced,none,yes,no,none,group_study,medium,71,95.3,19.7,6.9,3.7,0,73,73,75
male,group B,some high school,standard,none,yes,yes,none,passive_reading,medium,64,84.2,16.3,6.0,2.8,0,59,62,64
female,group D,master's degree,free/reduced,completed,yes,no,none,spaced_repetition,low,29,85.4,7.3,6.9,2.6,0,32,36,32
male,group C,some college,standard,completed,yes,no,peer_tutoring,active_problem_solving,medium,60,86.1,10.2,7.8,1.2,0,73,73,75
female,group D,some college,standard,completed,yes,no,none,group_study,high,61,96.5,22.5,8.2,2.6,1,82,76,73
female,group D,associate's degree,standard,none,yes,yes,none,active_problem_solving,low,47,92.7,8.4,7.2,1.8,1,52,52,51
