Hours_Studied,Previous_Score,Extracurricular_Activities,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index
9,46,No,6,3,40.6
5,73,No,7,8,61.9
9,71,No,5,7,67.9
3,88,Yes,8,3,70.1
4,52,No,9,5,39.7
9,69,Yes,4,6,69.3
6,64,No,7,9,53.8
2,60,Yes,4,7,39.7
7,99,No,7,3,94.9
2,98,No,8,0,77.2
2,60,Yes,9,4,42.4
1,67,Yes,8,0,40.0
3,87,Yes,8,3,68.0
6,97,Yes,7,6,90.5
8,59,No,6,6,53.2
9,73,No,9,0,68.7
7,44,No,4,8,33.9
4,57,No,6,1,40.7
6,99,No,6,4,89.6
5,78,Yes,5,5,66.4
8,82,Yes,4,0,69.6
1,96,No,7,1,73.3
1,96,Yes,5,6,72.4
6,50,No,5,5,41.4
2,93,No,8,5,72.6
5,56,Yes,7,5,42.8
1,87,No,6,6,61.0
7,84,Yes,9,9,79.6
1,61,No,6,8,38.6
4,76,Yes,6,8,61.1
9,59,No,8,1,55.6
1,87,No,6,1,65.0
4,99,Yes,4,4,83.2
6,93,No,6,9,85.4
6,93,No,6,6,81.3
8,87,Yes,4,2,75.7
1,87,Yes,8,2,62.6
7,85,Yes,5,3,74.2
1,45,No,7,2,17.3
7,73,Yes,8,2,65.6
3,53,Yes,6,7,35.1
8,87,Yes,5,6,77.4
3,62,No,7,6,45.5
1,59,Yes,7,9,36.5
8,52,No,7,1,49.5
3,86,No,4,8,66.5
2,83,Yes,4,5,63.2
1,80,No,5,2,55.0
3,71,No,6,8,51.2
2,65,No,5,8,44.4
2,89,No,6,5,70.6
6,92,No,8,9,81.3
1,53,Yes,7,5,29.3
2,91,Yes,7,7,72.5
6,96,Yes,4,7,82.5
3,75,No,8,5,59.6
4,47,Yes,9,6,31.7
1,79,No,8,3,59.1
8,61,No,6,0,55.1
7,61,No,8,3,53.9
7,55,No,4,7,49.1
3,66,Yes,6,7,49.0
3,95,No,5,1,79.9
2,99,Yes,6,6,81.7
1,99,Yes,5,0,76.3
7,49,No,9,1,43.0
7,64,Yes,6,7,59.0
2,70,Yes,7,9,50.3
7,60,Yes,9,3,48.5
8,66,No,5,2,60.7
1,56,No,4,1,30.2
9,72,No,9,5,71.5
7,70,Yes,9,3,66.1
3,89,Yes,9,2,73.3
8,81,No,5,2,75.0
7,65,No,5,9,58.0
8,60,Yes,6,2,56.2
6,75,No,7,7,63.6
9,40,No,9,8,37.1
5,43,Yes,6,8,32.5
3,43,Yes,6,4,23.5
3,65,No,7,0,44.8
1,43,No,6,9,19.3
8,88,No,7,4,83.3
2,48,No,4,0,19.0
3,69,Yes,7,8,53.5
8,90,No,8,9,89.5
8,84,No,7,7,78.4
4,43,Yes,7,6,28.6
4,44,Yes,8,1,28.0
5,84,Yes,7,1,75.3
6,62,Yes,5,3,51.5
5,55,Yes,6,8,39.3
7,61,Yes,6,8,56.5
2,76,Yes,4,7,52.6
7,47,No,4,4,32.9
7,87,No,8,6,81.9
1,72,Yes,5,8,47.5
7,94,No,4,2,81.7
5,99,No,6,3,90.4
3,77,Yes,4,1,57.0
3,82,Yes,4,8,63.8
4,55,Yes,7,6,40.0
2,44,Yes,4,5,17.9
2,55,Yes,8,4,36.3
1,46,No,6,6,22.1
5,90,No,8,2,75.0
4,40,Yes,8,4,28.9
2,48,Yes,9,1,24.4
3,57,No,5,4,37.5
7,84,No,9,6,80.0
7,97,No,9,9,93.9
4,86,Yes,7,6,69.1
5,42,Yes,8,8,31.6
5,63,No,5,2,49.0
6,67,Yes,6,7,56.5
9,49,No,6,4,45.3
2,48,Yes,5,6,24.4
5,52,Yes,8,0,36.9
3,87,No,8,0,68.6
4,74,No,7,3,56.8
6,93,Yes,7,4,80.0
8,62,No,9,9,58.7
1,86,Yes,6,2,62.7
8,56,No,7,5,53.0
7,85,No,5,2,73.6
1,46,Yes,6,4,19.0
2,91,Yes,8,0,72.5
3,55,Yes,6,2,38.3
1,92,No,4,6,61.3
9,79,No,6,2,77.6
8,75,Yes,7,4,71.3
2,59,No,5,6,36.3
9,63,Yes,8,1,65.4
7,86,Yes,8,2,78.3
9,44,Yes,7,3,39.1
6,84,Yes,7,4,69.4
6,45,Yes,7,8,36.5
4,67,No,4,8,51.1
2,98,No,5,3,72.1
7,44,Yes,4,8,33.6
5,88,No,7,3,79.2
6,78,Yes,5,1,69.6
2,77,No,7,9,54.6
5,41,No,5,0,24.6
4,82,Yes,8,6,68.0
9,78,No,4,3,74.5
6,93,Yes,9,7,87.4
2,60,No,7,7,40.8
1,79,Yes,7,7,58.3
5,76,Yes,6,5,62.5
9,98,Yes,9,8,99.7
6,57,Yes,8,3,46.2
7,93,Yes,7,4,89.5
5,87,Yes,4,3,74.7
6,85,No,8,4,78.2
5,51,Yes,7,1,39.1
9,56,No,4,4,49.3
6,76,Yes,6,9,67.8
8,85,No,6,7,79.9
2,77,Yes,4,8,54.1
9,54,Yes,8,6,56.1
5,46,No,4,6,27.3
7,53,Yes,9,5,51.0
1,89,Yes,4,1,64.7
5,40,Yes,6,9,28.2
2,77,Yes,6,9,54.5
6,42,No,6,8,33.9
1,76,Yes,9,4,57.9
3,83,No,7,5,67.7
5,70,Yes,9,0,55.7
4,82,Yes,7,4,69.0
3,52,Yes,9,5,35.2
5,87,Yes,5,9,73.7
8,57,No,7,1,46.8
4,56,Yes,8,6,43.5
1,56,Yes,8,3,33.0
7,50,Yes,6,4,43.0
8,59,No,9,2,57.7
3,49,No,4,4,26.0
6,68,No,6,3,59.7
2,87,No,4,9,67.1
7,73,Yes,9,5,67.9
8,56,Yes,6,1,45.1
6,93,No,6,2,79.3
6,91,Yes,8,9,86.2
5,81,Yes,4,0,63.7
8,52,No,5,6,44.8
1,83,Yes,5,8,64.0
4,86,No,6,1,72.0
4,78,No,9,6,61.3
3,66,No,6,2,51.1
3,93,No,8,4,80.7
4,92,No,4,5,77.0
1,65,No,6,7,42.1
2,67,Yes,9,3,45.8
9,52,Yes,5,1,48.1
2,51,Yes,4,2,23.2
5,83,No,6,7,73.6
9,67,No,4,6,64.1
9,41,No,8,5,36.9
8,76,Yes,5,4,71.0
1,96,Yes,9,4,75.1
1,96,No,4,0,74.3
9,73,No,5,5,66.4
8,62,No,6,8,60.2
9,97,No,9,7,99.5
7,91,No,9,9,86.8
3,84,Yes,7,0,67.1
3,68,No,4,5,45.9
2,74,No,5,2,50.9
5,50,No,4,5,30.8
3,87,No,6,8,64.0
6,72,Yes,6,5,60.9
2,90,No,9,7,71.3
3,50,No,9,5,36.2
5,48,No,5,5,30.9
1,53,Yes,8,6,32.9
1,48,No,4,9,23.2
9,78,Yes,4,3,75.2
7,87,No,6,7,81.1
1,42,No,4,3,12.2
8,68,No,5,6,63.6
3,58,No,7,0,39.9
8,75,No,9,8,76.8
5,71,No,6,9,61.5
1,46,No,9,8,18.1
7,94,No,9,6,86.1
5,67,No,9,7,53.0
6,83,Yes,7,1,74.1
6,57,Yes,4,9,45.6
8,99,Yes,8,9,100.0
9,44,Yes,9,6,42.6
2,62,No,5,0,45.3
9,94,No,9,2,94.9
9,61,Yes,9,5,57.6
7,65,Yes,4,4,55.5
1,81,Yes,5,4,59.4
7,51,Yes,4,8,48.8
5,79,No,9,5,66.7
6,58,Yes,4,2,43.5
7,86,No,4,1,79.5
5,40,No,6,8,24.8
7,42,No,7,9,36.8
9,66,Yes,8,3,67.6
3,57,Yes,7,4,37.2
8,89,No,7,8,86.7
2,69,Yes,5,4,45.7
7,41,Yes,6,6,36.4
2,44,No,6,1,20.0
4,68,No,4,1,47.0
7,72,Yes,7,3,65.6
3,81,No,8,7,63.8
2,59,Yes,5,1,36.3
7,69,Yes,6,9,59.4
1,81,No,4,6,58.2
8,44,No,8,0,39.4
3,89,Yes,7,8,75.3
2,60,No,8,9,41.5
3,97,Yes,6,5,78.3
5,54,No,5,0,40.0
8,59,Yes,7,9,56.8
7,47,No,5,5,40.4
7,88,Yes,9,4,83.9
7,70,Yes,8,4,61.6
8,51,No,8,4,48.0
1,60,Yes,4,3,34.4
4,69,Yes,7,6,54.8
6,66,Yes,8,8,57.3
9,83,Yes,6,3,83.9
2,65,Yes,9,1,45.1
1,72,No,6,1,49.0
2,65,Yes,5,1,44.7
7,65,Yes,9,6,59.0
3,75,Yes,9,3,59.8
2,79,No,6,3,55.7
7,40,No,8,0,30.6
2,98,Yes,6,3,76.6
3,54,Yes,7,5,36.5
7,89,No,5,1,80.7
4,40,No,9,3,29.6
1,50,Yes,7,6,27.0
5,94,No,8,8,83.8
9,41,Yes,8,1,44.3
8,40,Yes,6,7,35.8
9,70,Yes,4,5,67.8
9,83,No,9,7,85.8
7,55,Yes,9,1,46.8
4,93,Yes,4,0,76.4
5,61,No,8,6,55.1
1,81,Yes,8,8,59.9
1,57,Yes,9,8,39.3
3,86,Yes,5,1,69.0
8,56,No,9,3,51.4
2,69,No,8,0,47.1
4,49,Yes,8,6,32.6
2,74,No,5,1,52.1
5,97,Yes,7,3,81.7
9,60,Yes,7,1,60.1
1,55,No,5,0,28.4
5,45,No,5,6,33.1
9,42,Yes,7,5,42.8
1,80,No,7,1,52.9
9,82,No,7,3,80.3
8,60,No,7,2,53.6
4,52,Yes,9,2,37.5
5,57,Yes,9,2,45.5
5,97,No,6,3,82.3
6,93,Yes,5,0,81.8
7,99,Yes,4,0,84.9
8,63,No,6,6,54.1
8,66,Yes,4,4,63.9
2,93,No,4,2,69.2
9,43,Yes,8,8,42.4
7,61,Yes,5,4,53.1
4,63,No,9,9,53.7
4,79,Yes,6,2,65.8
8,84,No,5,8,78.9
4,49,Yes,7,0,34.2
6,41,Yes,5,8,30.2
5,79,Yes,4,4,64.8
3,45,No,9,5,28.2
2,87,Yes,7,1,69.6
9,57,Yes,5,7,54.8
9,56,No,5,2,53.9
1,77,No,9,0,59.5
3,84,Yes,4,6,67.5
8,62,No,7,2,59.0
6,85,No,4,3,75.0
5,69,No,9,4,57.2
5,97,No,5,0,79.5
6,60,Yes,6,8,51.9
7,49,No,6,6,43.0
1,95,Yes,8,1,69.3
9,82,Yes,6,0,77.2
3,52,Yes,9,1,34.6
4,51,No,9,2,39.1
1,48,No,9,2,23.8
3,43,Yes,7,7,27.8
2,78,Yes,8,4,60.1
2,63,No,7,8,44.1
1,93,No,6,2,68.0
8,73,Yes,6,5,68.3
3,78,No,5,3,59.7
3,80,No,7,7,63.4
6,44,Yes,4,0,27.5
8,54,No,5,3,45.4
9,89,No,7,6,86.4
9,43,Yes,9,8,44.5
4,90,No,8,0,76.3
5,91,Yes,7,7,81.2
2,97,No,8,1,76.6
9,78,Yes,8,3,77.2
8,97,No,6,3,93.7
3,47,Yes,4,7,30.1
9,88,No,7,1,89.7
3,84,No,4,6,62.4
9,63,No,8,2,60.0
2,92,Yes,6,8,73.7
9,67,No,4,4,56.2
8,94,Yes,5,7,89.9
9,82,No,8,4,79.8
5,66,No,5,0,49.8
2,40,No,9,8,22.9
8,73,No,4,9,69.0
6,56,No,4,6,40.5
8,76,No,4,3,68.8
5,77,Yes,9,6,73.6
2,65,Yes,7,4,42.5
6,96,No,8,9,84.5
5,63,No,8,8,50.8
5,78,No,8,1,66.4
1,99,No,7,3,75.9
2,60,No,4,5,35.1
8,69,Yes,4,4,61.4
3,86,No,9,0,66.9
3,90,No,5,8,66.4
8,87,Yes,7,8,79.6
8,96,Yes,6,2,92.7
2,52,Yes,7,3,29.1
8,76,No,9,3,72.7
1,42,No,5,9,12.6
6,71,No,5,7,59.1
8,74,No,5,5,66.0
3,58,No,4,1,35.4
8,53,Yes,6,3,45.3
1,87,No,5,0,59.4
9,61,No,8,2,56.8
9,56,No,4,3,50.7
5,98,Yes,6,7,80.5
4,43,No,8,2,25.1
6,84,No,6,4,72.8
7,79,No,9,0,75.0
5,58,No,6,3,40.2
9,76,Yes,8,1,77.0
3,41,Yes,7,3,26.3
7,54,Yes,6,4,46.0
5,41,No,7,2,28.4
7,50,Yes,6,5,43.3
2,84,Yes,9,1,67.0
4,62,No,8,4,46.2
2,49,No,6,3,28.2
7,42,Yes,5,4,30.3
2,44,Yes,9,8,27.7
1,42,Yes,5,5,16.5
9,77,Yes,9,6,79.3
1,52,No,9,7,34.1
8,81,No,6,8,77.4
2,58,Yes,8,4,34.4
8,79,Yes,8,7,74.4
3,89,Yes,4,1,69.1
6,74,No,8,9,64.9
3,63,No,7,8,49.1
7,63,No,6,1,55.6
9,56,Yes,5,4,53.1
2,79,No,8,5,57.7
5,49,Yes,5,3,34.0
6,41,Yes,4,7,27.1
4,83,No,6,9,67.6
4,62,Yes,8,2,42.6
4,45,No,5,4,25.4
2,41,No,9,1,24.1
4,60,Yes,8,2,48.7
1,94,Yes,4,7,71.3
6,95,No,9,4,86.7
1,74,No,5,2,48.1
6,88,No,5,4,76.0
1,68,No,6,8,45.4
6,46,No,6,2,29.1
8,68,No,5,9,66.2
2,92,No,9,6,73.9
2,76,Yes,6,7,58.3
4,62,No,5,4,43.0
3,72,Yes,9,2,53.1
4,47,Yes,7,5,34.1
7,51,No,8,2,42.8
1,85,No,7,8,61.0
6,87,No,7,1,77.7
3,49,No,8,2,29.7
7,54,No,5,6,46.2
2,92,Yes,5,9,71.7
2,63,Yes,6,7,47.5
4,65,No,4,4,46.8
1,86,No,5,4,60.1
3,81,No,8,4,62.3
9,92,No,4,3,83.9
7,99,Yes,8,8,97.2
7,78,Yes,8,5,71.5
4,97,Yes,8,7,81.9
2,42,No,4,7,16.3
4,41,No,7,4,25.4
6,45,No,9,8,35.3
3,60,Yes,8,1,42.9
1,48,Yes,6,7,26.4
8,49,Yes,5,2,41.9
5,75,No,9,6,68.2
5,98,Yes,5,8,82.2
4,42,No,5,4,20.9
6,80,Yes,4,7,70.0
3,63,No,6,3,43.2
9,61,No,6,0,57.8
5,88,No,9,0,75.6
3,53,No,6,5,33.1
1,81,Yes,6,7,61.2
6,84,Yes,6,9,73.3
2,83,Yes,9,1,65.3
3,66,No,7,3,46.5
1,72,Yes,6,2,44.6
9,99,No,6,8,95.9
8,61,Yes,4,2,50.2
2,68,Yes,4,7,43.9
8,58,No,6,6,50.7
9,58,No,7,0,58.8
1,45,No,6,7,24.0
5,84,Yes,6,8,68.2
8,58,No,6,7,49.9
2,52,Yes,8,9,32.2
4,98,Yes,7,9,83.5
7,65,Yes,5,0,56.0
3,61,No,6,6,45.9
5,60,Yes,5,8,44.7
8,75,No,7,4,76.1
3,95,No,6,1,77.2
4,41,Yes,5,7,25.6
9,86,Yes,9,8,85.2
7,83,Yes,5,6,71.1
1,69,Yes,7,4,50.4
4,66,No,6,7,51.5
4,46,No,8,5,31.8
9,59,No,7,3,51.4
6,89,No,8,0,78.1
9,70,No,6,5,66.1
6,62,No,5,7,50.2
6,52,No,9,2,43.2
5,56,No,9,6,44.5
5,43,No,7,6,31.1
2,96,Yes,7,8,78.7
8,53,Yes,7,0,45.7
8,59,No,4,4,47.6
1,99,No,9,7,76.6
8,52,Yes,9,2,42.6
5,42,Yes,6,4,27.2
2,65,Yes,4,0,44.5
2,65,No,7,8,44.6
6,57,Yes,7,3,44.1
9,71,Yes,8,4,70.0
1,53,Yes,4,2,26.8
6,86,Yes,5,1,73.8
9,42,Yes,9,6,38.5
8,40,No,6,4,29.1
6,65,Yes,5,9,53.4
3,63,No,5,2,40.8
8,88,Yes,6,1,83.5
9,74,Yes,7,9,73.1
1,53,Yes,9,5,26.8
9,42,Yes,8,9,44.1
6,52,Yes,7,5,45.4
6,86,No,7,2,77.2
4,89,No,4,8,73.7
1,53,No,5,0,27.9
8,60,No,5,2,49.0
2,65,No,9,0,45.7
1,42,No,5,6,16.3
2,90,No,8,1,64.5
1,79,Yes,8,3,55.7
1,43,No,8,3,17.1
9,75,Yes,6,7,71.4
1,90,Yes,9,3,68.6
4,82,No,8,2,74.2
6,40,Yes,4,9,28.8
7,79,Yes,4,2,69.9
2,86,No,7,4,65.2
6,72,Yes,7,5,60.5
7,46,No,9,6,44.2
2,92,Yes,7,4,72.9
2,91,No,7,6,72.6
7,91,Yes,4,3,83.5
1,95,No,7,4,72.2
8,50,Yes,4,5,48.1
3,66,No,8,8,48.0
6,53,Yes,8,5,42.3
9,61,Yes,9,9,60.0
6,55,No,6,0,44.6
9,85,Yes,7,6,90.1
7,51,No,8,2,48.1
9,88,Yes,8,5,88.5
2,85,Yes,9,1,62.4
8,49,No,5,6,41.1
8,63,Yes,5,0,56.8
2,85,No,9,1,66.7
4,57,Yes,4,8,40.9
7,61,Yes,6,8,54.9
4,48,Yes,9,6,33.5
4,56,Yes,5,1,41.0
6,77,No,6,4,71.0
6,79,No,8,3,69.4
3,97,Yes,9,1,82.3
9,52,Yes,4,1,43.3
2,89,No,6,9,69.8
6,76,Yes,5,7,66.6
7,45,No,8,4,33.5
9,60,Yes,9,7,61.2
3,90,Yes,7,1,69.3
3,75,No,8,1,58.8
7,46,Yes,5,2,35.3
4,75,No,9,9,58.8
8,64,No,5,7,58.7
7,50,No,7,7,42.9
5,83,No,8,2,71.8
7,53,No,6,0,43.8
3,84,No,6,6,62.0
2,68,Yes,8,3,46.4
6,49,No,6,2,36.6
2,89,No,9,4,69.3
3,87,Yes,8,5,70.1
6,44,No,8,0,31.3
5,47,Yes,5,8,32.4
8,85,No,4,5,76.0
9,44,No,5,2,39.6
3,97,No,6,0,80.8
3,99,Yes,4,8,78.4
3,63,Yes,8,1,46.6
6,79,No,6,9,67.8
1,96,No,7,5,75.6
7,65,Yes,6,5,64.0
1,45,Yes,4,2,19.7
5,55,Yes,4,5,38.4
8,99,No,8,1,93.1
4,75,Yes,9,7,64.3
5,51,Yes,7,0,40.4
4,50,Yes,8,5,35.4
4,42,Yes,7,0,25.5
8,83,Yes,7,8,81.4
2,76,Yes,8,8,53.1
1,45,Yes,6,5,21.1
3,58,No,5,5,38.0
9,57,Yes,7,8,56.3
4,55,No,4,4,35.2
5,62,No,8,8,47.9
2,82,Yes,9,4,68.0
4,76,No,6,3,58.8
2,48,No,7,1,24.3
2,42,Yes,9,1,23.2
4,47,No,6,0,26.9
6,77,Yes,8,9,64.4
7,43,Yes,9,2,34.5
3,51,Yes,4,0,28.7
3,83,Yes,7,5,61.9
6,70,Yes,7,6,58.8
3,64,Yes,9,8,47.4
2,92,Yes,6,6,73.7
8,55,No,8,3,50.7
5,81,Yes,5,3,69.6
1,93,No,7,7,70.1
3,53,Yes,4,3,30.7
8,52,Yes,7,0,46.6
4,80,Yes,7,8,67.1
7,46,No,5,2,37.5
2,51,No,5,0,28.2
7,76,No,8,8,74.3
5,89,No,7,9,78.0
5,43,No,7,9,30.3
6,41,No,6,4,28.8
9,74,Yes,6,8,68.6
6,97,Yes,9,2,94.0
8,83,No,9,5,81.0
7,42,No,4,6,34.4
9,43,No,4,4,41.1
4,77,No,6,7,60.0
2,51,No,9,9,31.2
7,58,Yes,4,5,50.5
6,49,Yes,7,5,35.7
1,40,Yes,9,6,17.7
9,56,Yes,5,7,48.8
9,55,Yes,9,1,56.9
2,48,Yes,7,6,25.2
3,96,Yes,6,8,79.0
5,92,Yes,8,0,83.2
5,48,No,8,0,39.1
1,98,No,6,6,71.0
8,94,Yes,7,4,84.9
8,48,Yes,4,0,43.4
4,51,Yes,9,0,39.0
7,94,No,9,1,85.6
3,80,No,4,9,60.1
6,54,Yes,8,8,45.3
9,41,No,6,2,36.0
1,50,Yes,6,8,24.5
5,50,Yes,5,5,32.9
4,47,Yes,8,9,33.2
8,94,Yes,6,5,90.3
1,71,Yes,5,6,46.9
9,45,No,4,9,41.3
6,92,Yes,8,7,82.1
4,59,Yes,8,2,48.6
9,78,Yes,6,7,76.4
5,74,Yes,6,5,61.6
5,47,No,7,5,38.8
5,89,Yes,4,2,76.3
1,88,Yes,4,5,65.4
1,82,No,9,7,63.0
8,73,Yes,5,6,69.1
8,96,Yes,5,9,91.3
6,92,Yes,7,9,80.4
4,98,Yes,9,6,86.4
2,95,No,4,2,71.5
2,58,Yes,5,9,39.0
9,46,Yes,4,2,42.4
5,70,No,4,4,57.3
4,57,Yes,9,4,46.4
1,79,Yes,5,8,54.1
7,53,No,6,8,46.2
3,78,Yes,6,9,59.7
6,99,No,9,4,92.3
5,92,Yes,5,4,77.5
5,99,No,7,5,91.3
5,98,Yes,8,7,87.7
1,75,Yes,9,5,53.0
1,56,No,4,5,32.9
3,76,Yes,9,8,59.2
4,83,No,8,0,69.1
5,48,No,9,3,35.5
2,97,No,5,9,72.8
8,59,No,4,9,49.1
2,84,Yes,8,1,62.4
9,96,No,6,8,97.4
2,67,Yes,7,2,49.4
9,89,Yes,9,9,89.8
7,59,No,9,1,48.7
8,80,No,8,7,78.7
2,75,Yes,7,3,54.5
7,92,No,9,1,90.4
6,66,Yes,6,3,54.4
4,47,No,8,6,31.1
7,71,Yes,5,6,66.0
4,40,Yes,4,0,24.9
2,56,No,6,0,29.4
7,96,Yes,7,2,89.3
8,48,Yes,7,1,42.0
2,59,No,6,2,36.0
5,84,No,5,3,66.1
1,71,No,9,6,46.1
7,41,No,5,1,36.5
8,71,No,9,6,71.3
6,84,Yes,9,4,80.2
5,48,Yes,7,7,34.0
6,69,No,9,7,64.3
2,59,Yes,6,4,40.8
1,77,Yes,9,9,59.0
7,99,Yes,6,7,97.2
7,40,Yes,4,8,29.8
2,99,Yes,7,6,81.7
2,96,No,5,5,76.0
1,44,No,8,6,21.9
8,74,Yes,5,6,71.8
8,75,Yes,5,2,67.5
1,40,No,8,5,20.0
8,53,No,7,5,42.3
9,48,No,9,8,46.4
4,69,No,4,0,51.5
1,63,Yes,5,6,39.7
1,43,No,9,0,17.6
3,89,No,5,9,72.4
5,53,Yes,7,3,44.6
5,64,No,7,6,52.5
9,43,No,6,5,41.0
2,64,No,7,5,42.2
2,49,No,7,4,28.9
6,74,No,5,6,60.0
9,94,Yes,4,8,92.2
1,46,Yes,5,5,21.9
9,81,Yes,9,9,80.5
9,52,Yes,7,6,53.5
9,43,Yes,6,8,40.8
5,89,No,4,6,68.6
9,82,No,6,5,82.0
4,96,No,8,2,86.2
2,75,No,6,0,49.9
6,95,No,6,9,83.5
4,53,No,9,8,41.2
6,57,No,7,6,50.3
3,47,No,9,2,29.6
6,71,No,7,9,61.3
2,66,No,9,8,43.5
2,81,No,7,2,58.9
9,76,No,7,2,72.3
7,62,No,7,6,51.6
3,46,Yes,6,1,30.9
1,51,No,8,9,27.5
8,64,Yes,7,6,62.0
6,42,No,8,6,28.7
7,65,No,8,0,56.3
9,43,No,5,9,37.7
5,81,Yes,5,1,65.7
1,75,Yes,4,4,45.7
7,54,No,9,3,48.5
5,71,No,5,2,62.2
3,68,No,7,9,48.0
9,49,No,8,7,49.8
1,60,Yes,9,6,42.2
1,93,Yes,4,8,69.5
1,55,No,5,2,23.6
3,86,Yes,6,9,69.1
6,58,Yes,9,0,52.7
3,68,No,4,8,45.0
8,91,No,7,8,91.6
2,90,No,9,0,71.8
9,57,Yes,8,7,54.8
3,97,No,7,9,76.5
5,83,Yes,7,0,67.5
8,96,No,9,5,92.4
2,55,No,6,8,29.8
6,40,Yes,6,2,30.3
5,87,Yes,9,5,75.6
9,41,Yes,9,2,43.3
5,95,Yes,9,4,87.3
2,54,Yes,8,6,31.0
5,78,Yes,5,9,66.9
4,67,No,7,3,50.4
7,40,Yes,9,3,31.9
6,44,Yes,5,6,32.4
2,81,No,8,4,62.2
5,61,Yes,7,0,48.0
7,92,Yes,5,9,86.5
7,75,No,7,1,69.1
5,85,No,6,5,74.3
9,52,No,9,8,53.2
4,40,Yes,6,6,21.5
3,55,No,4,3,37.2
4,94,Yes,8,1,78.1
5,80,No,9,3,68.0
6,61,Yes,5,4,47.7
3,71,No,7,1,49.8
2,55,No,4,0,34.8
4,90,No,8,3,71.2
5,54,Yes,8,5,41.5
4,97,Yes,8,0,79.0
3,85,No,5,0,59.7
8,91,No,9,8,92.0
4,81,No,6,4,61.6
2,92,No,4,1,70.6
2,51,Yes,5,1,31.7
1,99,No,7,3,74.7
4,40,No,5,1,23.3
9,92,Yes,7,3,92.8
7,56,Yes,7,5,50.4
7,80,No,8,6,77.0
7,94,No,5,5,83.6
8,90,Yes,6,3,84.0
1,96,Yes,7,9,73.1
8,89,No,8,2,83.4
4,67,Yes,6,3,52.8
4,46,Yes,5,4,26.1
4,48,No,6,3,30.3
6,61,No,5,2,50.5
7,65,Yes,7,0,54.3
6,92,No,4,2,80.4
1,51,No,4,4,21.7
8,46,No,9,5,42.0
7,85,No,9,3,77.2
6,86,No,7,0,78.1
6,54,Yes,6,9,39.9
5,77,Yes,5,6,62.3
6,60,No,4,8,46.0
9,53,No,5,5,49.1
9,41,No,7,5,42.7
8,47,Yes,6,8,39.4
9,84,Yes,5,3,80.2
8,94,Yes,6,4,90.2
8,45,Yes,4,4,37.5
1,76,No,5,4,49.5
5,76,No,8,7,64.3
4,96,Yes,4,0,77.4
2,72,Yes,6,9,48.9
8,80,No,7,9,74.5
3,45,No,8,2,25.1
4,91,No,9,7,74.4
7,65,No,5,8,58.5
9,78,No,9,1,77.9
2,80,Yes,4,3,60.7
3,76,No,5,7,55.9
4,53,Yes,5,4,32.5
1,76,Yes,8,0,52.5
7,47,No,8,5,37.2
2,78,Yes,8,8,57.8
5,52,Yes,8,8,38.8
1,52,No,7,0,27.7
3,79,Yes,6,3,64.0
2,82,No,8,0,61.2
1,67,No,4,6,39.0
7,97,Yes,5,2,83.1
5,57,No,9,1,47.1
1,96,No,8,7,74.2
6,58,Yes,4,8,44.1
5,77,No,7,6,64.5
3,71,Yes,4,5,49.9
7,61,Yes,9,9,52.6
9,41,No,9,5,37.1
9,99,Yes,4,8,95.7
9,52,No,7,4,50.2
2,62,Yes,9,4,41.7
3,64,No,7,1,46.2
7,67,No,5,5,62.5
5,97,Yes,8,5,88.0
2,50,Yes,9,5,26.5
3,72,No,4,3,55.5
6,63,No,6,6,56.0
7,41,Yes,6,8,34.6
9,69,No,5,0,65.1
1,56,No,6,2,31.7
7,79,Yes,5,9,69.2
8,73,Yes,8,8,67.7
3,77,No,5,4,60.3
4,61,Yes,7,5,45.6
6,44,Yes,7,7,35.1
7,87,No,7,8,77.7
4,79,Yes,9,7,66.8
8,90,Yes,7,2,84.9
5,55,No,7,9,39.6
1,52,Yes,7,0,28.1
4,65,No,7,4,48.7
3,70,Yes,9,6,54.8
9,91,Yes,7,1,88.8
8,78,No,7,0,76.4
1,87,Yes,8,3,65.4
6,62,Yes,9,2,53.5
9,87,Yes,7,3,87.8
7,51,Yes,5,0,45.4
4,53,Yes,8,1,39.7
1,95,Yes,9,0,72.0
2,57,No,6,2,34.6
5,66,Yes,4,3,50.0
5,67,Yes,9,0,58.4
8,57,No,8,5,54.3
6,55,No,7,1,41.7
8,91,No,8,9,86.9
2,55,Yes,4,4,35.4
3,52,No,4,7,34.0
6,97,No,9,3,89.9
3,68,Yes,7,4,48.9
6,48,No,7,8,39.4
6,65,Yes,5,1,51.7
2,67,Yes,4,1,45.5
7,80,Yes,7,5,73.6
2,52,Yes,4,5,26.9
6,75,Yes,5,2,59.1
1,48,No,6,8,26.9
3,86,Yes,4,0,65.6
2,53,No,5,2,23.3
7,90,Yes,5,7,82.7
4,51,No,5,7,35.6
8,92,Yes,8,3,90.2
6,97,Yes,9,7,91.9
4,96,Yes,7,9,81.1
5,71,No,4,7,59.1
9,77,No,9,0,76.6
7,42,No,8,2,36.4
9,97,Yes,4,0,94.5
7,96,Yes,9,1,95.3
1,93,No,8,3,69.5
8,91,Yes,7,2,87.8
4,55,No,5,5,35.1
3,59,Yes,9,4,37.6
7,71,No,9,4,67.7
3,95,No,4,9,79.3
8,62,Yes,5,6,58.5
6,56,No,7,6,50.8
5,55,Yes,4,8,41.8
4,77,Yes,6,7,61.6
8,47,Yes,6,2,39.5
